source_id,profile_id,description,driver_age,gender,marital,years_licensed,incidents,violations,coverage,liability_limits,comp_deductible,coll_deductible,vehicle,annual_miles,good_student,driver_training,other
ca-2026,ca-1101A,"CDI 2026 Auto Premium Survey tool: Coverage Type=Basic - Liability Only; Insurance For=Single Driver; Years Licensed=1 to 2; Mileage=5,000 - 7,500; Driving Record=No Violations; Vehicle=Toyota Camry; Profile 1101A. Basic Limits: Liability Coverage Only: 30,000/60,000 Bodily Injury; 15,000 Property Damage; 2,000 Medical Payments; 30,000/60,000 Uninsured/Underinsured Motorist; 3,500 Uninsured Motorist - Property Damage",,,single,2,0,0,liability-only,30/60/15,,,Toyota Camry,"5,000 - 7,500",,,
ca-2026,ca-1102A,"CDI 2026 Auto Premium Survey tool: Coverage Type=Basic - Liability Only; Insurance For=Single Driver; Years Licensed=1 to 2; Mileage=7,600 - 10,000; Driving Record=No Violations; Vehicle=Toyota Camry; Profile 1102A. Basic Limits: Liability Coverage Only: 30,000/60,000 Bodily Injury; 15,000 Property Damage; 2,000 Medical Payments; 30,000/60,000 Uninsured/Underinsured Motorist; 3,500 Uninsured Motorist - Property Damage",,,single,2,0,0,liability-only,30/60/15,,,Toyota Camry,"7,600 - 10,000",,,
ca-2026,ca-1102B,"CDI 2026 Auto Premium Survey tool: Coverage Type=Basic - Liability Only; Insurance For=Single Driver; Years Licensed=1 to 2; Mileage=7,600 - 10,000; Driving Record=1 Traffic Ticket; Vehicle=Toyota Camry; Profile 1102B. Basic Limits: Liability Coverage Only: 30,000/60,000 Bodily Injury; 15,000 Property Damage; 2,000 Medical Payments; 30,000/60,000 Uninsured/Underinsured Motorist; 3,500 Uninsured Motorist - Property Damage",,,single,2,0,1,liability-only,30/60/15,,,Toyota Camry,"7,600 - 10,000",,,
ca-2026,ca-1102C,"CDI 2026 Auto Premium Survey tool: Coverage Type=Basic - Liability Only; Insurance For=Single Driver; Years Licensed=1 to 2; Mileage=7,600 - 10,000; Driving Record=1 At-Fault Accident; Vehicle=Toyota Camry; Profile 1102C. Basic Limits: Liability Coverage Only: 30,000/60,000 Bodily Injury; 15,000 Property Damage; 2,000 Medical Payments; 30,000/60,000 Uninsured/Underinsured Motorist; 3,500 Uninsured Motorist - Property Damage",,,single,2,1,0,liability-only,30/60/15,,,Toyota Camry,"7,600 - 10,000",,,
ca-2026,ca-1102D,"CDI 2026 Auto Premium Survey tool: Coverage Type=Basic - Liability Only; Insurance For=Single Driver; Years Licensed=1 to 2; Mileage=7,600 - 10,000; Driving Record=1 Ticket and 1 Accident; Vehicle=Toyota Camry; Profile 1102D. Basic Limits: Liability Coverage Only: 30,000/60,000 Bodily Injury; 15,000 Property Damage; 2,000 Medical Payments; 30,000/60,000 Uninsured/Underinsured Motorist; 3,500 Uninsured Motorist - Property Damage",,,single,2,1,1,liability-only,30/60/15,,,Toyota Camry,"7,600 - 10,000",,,
ca-2026,ca-1103A,"CDI 2026 Auto Premium Survey tool: Coverage Type=Basic - Liability Only; Insurance For=Single Driver; Years Licensed=1 to 2; Mileage=12,500 - 16,000; Driving Record=No Violations; Vehicle=Toyota Camry; Profile 1103A. Basic Limits: Liability Coverage Only: 30,000/60,000 Bodily Injury; 15,000 Property Damage; 2,000 Medical Payments; 30,000/60,000 Uninsured/Underinsured Motorist; 3,500 Uninsured Motorist - Property Damage",,,single,2,0,0,liability-only,30/60/15,,,Toyota Camry,"12,500 - 16,000",,,
ca-2026,ca-1111A,"CDI 2026 Auto Premium Survey tool: Coverage Type=Basic - Liability Only; Insurance For=Single Driver; Years Licensed=3 to 4; Mileage=5,000 - 7,500; Driving Record=No Violations; Vehicle=Toyota Camry; Profile 1111A. Basic Limits: Liability Coverage Only: 30,000/60,000 Bodily Injury; 15,000 Property Damage; 2,000 Medical Payments; 30,000/60,000 Uninsured/Underinsured Motorist; 3,500 Uninsured Motorist - Property Damage",,,single,4,0,0,liability-only,30/60/15,,,Toyota Camry,"5,000 - 7,500",,,
ca-2026,ca-1112A,"CDI 2026 Auto Premium Survey tool: Coverage Type=Basic - Liability Only; Insurance For=Single Driver; Years Licensed=3 to 4; Mileage=7,600 - 10,000; Driving Record=No Violations; Vehicle=Toyota Camry; Profile 1112A. Basic Limits: Liability Coverage Only: 30,000/60,000 Bodily Injury; 15,000 Property Damage; 2,000 Medical Payments; 30,000/60,000 Uninsured/Underinsured Motorist; 3,500 Uninsured Motorist - Property Damage",,,single,4,0,0,liability-only,30/60/15,,,Toyota Camry,"7,600 - 10,000",,,
ca-2026,ca-1112B,"CDI 2026 Auto Premium Survey tool: Coverage Type=Basic - Liability Only; Insurance For=Single Driver; Years Licensed=3 to 4; Mileage=7,600 - 10,000; Driving Record=1 Traffic Ticket; Vehicle=Toyota Camry; Profile 1112B. Basic Limits: Liability Coverage Only: 30,000/60,000 Bodily Injury; 15,000 Property Damage; 2,000 Medical Payments; 30,000/60,000 Uninsured/Underinsured Motorist; 3,500 Uninsured Motorist - Property Damage",,,single,4,0,1,liability-only,30/60/15,,,Toyota Camry,"7,600 - 10,000",,,
ca-2026,ca-1112C,"CDI 2026 Auto Premium Survey tool: Coverage Type=Basic - Liability Only; Insurance For=Single Driver; Years Licensed=3 to 4; Mileage=7,600 - 10,000; Driving Record=1 At-Fault Accident; Vehicle=Toyota Camry; Profile 1112C. Basic Limits: Liability Coverage Only: 30,000/60,000 Bodily Injury; 15,000 Property Damage; 2,000 Medical Payments; 30,000/60,000 Uninsured/Underinsured Motorist; 3,500 Uninsured Motorist - Property Damage",,,single,4,1,0,liability-only,30/60/15,,,Toyota Camry,"7,600 - 10,000",,,
ca-2026,ca-1112D,"CDI 2026 Auto Premium Survey tool: Coverage Type=Basic - Liability Only; Insurance For=Single Driver; Years Licensed=3 to 4; Mileage=7,600 - 10,000; Driving Record=1 Ticket and 1 Accident; Vehicle=Toyota Camry; Profile 1112D. Basic Limits: Liability Coverage Only: 30,000/60,000 Bodily Injury; 15,000 Property Damage; 2,000 Medical Payments; 30,000/60,000 Uninsured/Underinsured Motorist; 3,500 Uninsured Motorist - Property Damage",,,single,4,1,1,liability-only,30/60/15,,,Toyota Camry,"7,600 - 10,000",,,
ca-2026,ca-1113A,"CDI 2026 Auto Premium Survey tool: Coverage Type=Basic - Liability Only; Insurance For=Single Driver; Years Licensed=3 to 4; Mileage=12,500 - 16,000; Driving Record=No Violations; Vehicle=Toyota Camry; Profile 1113A. Basic Limits: Liability Coverage Only: 30,000/60,000 Bodily Injury; 15,000 Property Damage; 2,000 Medical Payments; 30,000/60,000 Uninsured/Underinsured Motorist; 3,500 Uninsured Motorist - Property Damage",,,single,4,0,0,liability-only,30/60/15,,,Toyota Camry,"12,500 - 16,000",,,
ca-2026,ca-1121A,"CDI 2026 Auto Premium Survey tool: Coverage Type=Basic - Liability Only; Insurance For=Single Driver; Years Licensed=5 to 7; Mileage=5,000 - 7,500; Driving Record=No Violations; Vehicle=Toyota Camry; Profile 1121A. Basic Limits: Liability Coverage Only: 30,000/60,000 Bodily Injury; 15,000 Property Damage; 2,000 Medical Payments; 30,000/60,000 Uninsured/Underinsured Motorist; 3,500 Uninsured Motorist - Property Damage",,,single,7,0,0,liability-only,30/60/15,,,Toyota Camry,"5,000 - 7,500",,,
ca-2026,ca-1122A,"CDI 2026 Auto Premium Survey tool: Coverage Type=Basic - Liability Only; Insurance For=Single Driver; Years Licensed=5 to 7; Mileage=7,600 - 10,000; Driving Record=No Violations; Vehicle=Toyota Camry; Profile 1122A. Basic Limits: Liability Coverage Only: 30,000/60,000 Bodily Injury; 15,000 Property Damage; 2,000 Medical Payments; 30,000/60,000 Uninsured/Underinsured Motorist; 3,500 Uninsured Motorist - Property Damage",,,single,7,0,0,liability-only,30/60/15,,,Toyota Camry,"7,600 - 10,000",,,
ca-2026,ca-1122B,"CDI 2026 Auto Premium Survey tool: Coverage Type=Basic - Liability Only; Insurance For=Single Driver; Years Licensed=5 to 7; Mileage=7,600 - 10,000; Driving Record=1 Traffic Ticket; Vehicle=Toyota Camry; Profile 1122B. Basic Limits: Liability Coverage Only: 30,000/60,000 Bodily Injury; 15,000 Property Damage; 2,000 Medical Payments; 30,000/60,000 Uninsured/Underinsured Motorist; 3,500 Uninsured Motorist - Property Damage",,,single,7,0,1,liability-only,30/60/15,,,Toyota Camry,"7,600 - 10,000",,,
ca-2026,ca-1122C,"CDI 2026 Auto Premium Survey tool: Coverage Type=Basic - Liability Only; Insurance For=Single Driver; Years Licensed=5 to 7; Mileage=7,600 - 10,000; Driving Record=1 At-Fault Accident; Vehicle=Toyota Camry; Profile 1122C. Basic Limits: Liability Coverage Only: 30,000/60,000 Bodily Injury; 15,000 Property Damage; 2,000 Medical Payments; 30,000/60,000 Uninsured/Underinsured Motorist; 3,500 Uninsured Motorist - Property Damage",,,single,7,1,0,liability-only,30/60/15,,,Toyota Camry,"7,600 - 10,000",,,
ca-2026,ca-1122D,"CDI 2026 Auto Premium Survey tool: Coverage Type=Basic - Liability Only; Insurance For=Single Driver; Years Licensed=5 to 7; Mileage=7,600 - 10,000; Driving Record=1 Ticket and 1 Accident; Vehicle=Toyota Camry; Profile 1122D. Basic Limits: Liability Coverage Only: 30,000/60,000 Bodily Injury; 15,000 Property Damage; 2,000 Medical Payments; 30,000/60,000 Uninsured/Underinsured Motorist; 3,500 Uninsured Motorist - Property Damage",,,single,7,1,1,liability-only,30/60/15,,,Toyota Camry,"7,600 - 10,000",,,
ca-2026,ca-1123A,"CDI 2026 Auto Premium Survey tool: Coverage Type=Basic - Liability Only; Insurance For=Single Driver; Years Licensed=5 to 7; Mileage=12,500 - 16,000; Driving Record=No Violations; Vehicle=Toyota Camry; Profile 1123A. Basic Limits: Liability Coverage Only: 30,000/60,000 Bodily Injury; 15,000 Property Damage; 2,000 Medical Payments; 30,000/60,000 Uninsured/Underinsured Motorist; 3,500 Uninsured Motorist - Property Damage",,,single,7,0,0,liability-only,30/60/15,,,Toyota Camry,"12,500 - 16,000",,,
ca-2026,ca-1131A,"CDI 2026 Auto Premium Survey tool: Coverage Type=Basic - Liability Only; Insurance For=Single Driver; Years Licensed=8 to 13; Mileage=5,000 - 7,500; Driving Record=No Violations; Vehicle=Toyota Camry; Profile 1131A. Basic Limits: Liability Coverage Only: 30,000/60,000 Bodily Injury; 15,000 Property Damage; 2,000 Medical Payments; 30,000/60,000 Uninsured/Underinsured Motorist; 3,500 Uninsured Motorist - Property Damage",,,single,13,0,0,liability-only,30/60/15,,,Toyota Camry,"5,000 - 7,500",,,
ca-2026,ca-1132A,"CDI 2026 Auto Premium Survey tool: Coverage Type=Basic - Liability Only; Insurance For=Single Driver; Years Licensed=8 to 13; Mileage=7,600 - 10,000; Driving Record=No Violations; Vehicle=Toyota Camry; Profile 1132A. Basic Limits: Liability Coverage Only: 30,000/60,000 Bodily Injury; 15,000 Property Damage; 2,000 Medical Payments; 30,000/60,000 Uninsured/Underinsured Motorist; 3,500 Uninsured Motorist - Property Damage",,,single,13,0,0,liability-only,30/60/15,,,Toyota Camry,"7,600 - 10,000",,,
