source_id,state,data_year,url,locator,territory,carrier,profile_id,annual_premium
co-2023,CO,2023,http://www.dora.state.co.us/pls/real/Ins_Survey_Reports.Report_Selection_Criteria?p_report_id=AUTO&p_label=,"raw/Alamosa__81101__Driver_A.html (report 'Auto Premiums for Alamosa (81101)', column 'Driver A'), row '360 Insurance Company' / 'Plan 1' = $996 (6-month, x2)",Alamosa (81101),360 Insurance Company,co-A-P1,1992
co-2023,CO,2023,http://www.dora.state.co.us/pls/real/Ins_Survey_Reports.Report_Selection_Criteria?p_report_id=AUTO&p_label=,"raw/Alamosa__81101__Driver_A.html (report 'Auto Premiums for Alamosa (81101)', column 'Driver A'), row '360 Insurance Company' / 'Plan 2' = $1,297 (6-month, x2)",Alamosa (81101),360 Insurance Company,co-A-P2,2594
co-2023,CO,2023,http://www.dora.state.co.us/pls/real/Ins_Survey_Reports.Report_Selection_Criteria?p_report_id=AUTO&p_label=,"raw/Alamosa__81101__Driver_A.html (report 'Auto Premiums for Alamosa (81101)', column 'Driver A'), row '360 Insurance Company' / 'Plan 3' = $1,358 (6-month, x2)",Alamosa (81101),360 Insurance Company,co-A-P3,2716
co-2023,CO,2023,http://www.dora.state.co.us/pls/real/Ins_Survey_Reports.Report_Selection_Criteria?p_report_id=AUTO&p_label=,"raw/Alamosa__81101__Driver_A.html (report 'Auto Premiums for Alamosa (81101)', column 'Driver A'), row 'AIG Property Casualty' / 'Plan 1' = $1,914 (6-month, x2)",Alamosa (81101),AIG Property Casualty,co-A-P1,3828
co-2023,CO,2023,http://www.dora.state.co.us/pls/real/Ins_Survey_Reports.Report_Selection_Criteria?p_report_id=AUTO&p_label=,"raw/Alamosa__81101__Driver_A.html (report 'Auto Premiums for Alamosa (81101)', column 'Driver A'), row 'AIG Property Casualty' / 'Plan 2' = $2,353 (6-month, x2)",Alamosa (81101),AIG Property Casualty,co-A-P2,4706
co-2023,CO,2023,http://www.dora.state.co.us/pls/real/Ins_Survey_Reports.Report_Selection_Criteria?p_report_id=AUTO&p_label=,"raw/Alamosa__81101__Driver_A.html (report 'Auto Premiums for Alamosa (81101)', column 'Driver A'), row 'AIG Property Casualty' / 'Plan 3' = $2,528 (6-month, x2)",Alamosa (81101),AIG Property Casualty,co-A-P3,5056
co-2023,CO,2023,http://www.dora.state.co.us/pls/real/Ins_Survey_Reports.Report_Selection_Criteria?p_report_id=AUTO&p_label=,"raw/Alamosa__81101__Driver_A.html (report 'Auto Premiums for Alamosa (81101)', column 'Driver A'), row 'Acuity' / 'Plan 1' = $1,331 (6-month, x2)",Alamosa (81101),Acuity,co-A-P1,2662
co-2023,CO,2023,http://www.dora.state.co.us/pls/real/Ins_Survey_Reports.Report_Selection_Criteria?p_report_id=AUTO&p_label=,"raw/Alamosa__81101__Driver_A.html (report 'Auto Premiums for Alamosa (81101)', column 'Driver A'), row 'Acuity' / 'Plan 2' = $1,509 (6-month, x2)",Alamosa (81101),Acuity,co-A-P2,3018
co-2023,CO,2023,http://www.dora.state.co.us/pls/real/Ins_Survey_Reports.Report_Selection_Criteria?p_report_id=AUTO&p_label=,"raw/Alamosa__81101__Driver_A.html (report 'Auto Premiums for Alamosa (81101)', column 'Driver A'), row 'Acuity' / 'Plan 3' = $1,592 (6-month, x2)",Alamosa (81101),Acuity,co-A-P3,3184
co-2023,CO,2023,http://www.dora.state.co.us/pls/real/Ins_Survey_Reports.Report_Selection_Criteria?p_report_id=AUTO&p_label=,"raw/Alamosa__81101__Driver_A.html (report 'Auto Premiums for Alamosa (81101)', column 'Driver A'), row 'Allstate Fire and Casualty Insurance Company (AFCIC)' / 'Plan 1' = $1,982 (6-month, x2)",Alamosa (81101),Allstate Fire and Casualty Insurance Company (AFCIC),co-A-P1,3964
co-2023,CO,2023,http://www.dora.state.co.us/pls/real/Ins_Survey_Reports.Report_Selection_Criteria?p_report_id=AUTO&p_label=,"raw/Alamosa__81101__Driver_A.html (report 'Auto Premiums for Alamosa (81101)', column 'Driver A'), row 'Allstate Fire and Casualty Insurance Company (AFCIC)' / 'Plan 2' = $2,250 (6-month, x2)",Alamosa (81101),Allstate Fire and Casualty Insurance Company (AFCIC),co-A-P2,4500
co-2023,CO,2023,http://www.dora.state.co.us/pls/real/Ins_Survey_Reports.Report_Selection_Criteria?p_report_id=AUTO&p_label=,"raw/Alamosa__81101__Driver_A.html (report 'Auto Premiums for Alamosa (81101)', column 'Driver A'), row 'Allstate Fire and Casualty Insurance Company (AFCIC)' / 'Plan 3' = $2,237 (6-month, x2)",Alamosa (81101),Allstate Fire and Casualty Insurance Company (AFCIC),co-A-P3,4474
