source_id,profile_id,description,driver_age,gender,marital,years_licensed,incidents,violations,coverage,liability_limits,comp_deductible,coll_deductible,vehicle,annual_miles,good_student,driver_training,other
co-2023,co-A-P1,"Driver A: 25-yr old male, single, principal operator, less than 10 miles to work one way, no accidents or traffic convictions in three years, 15,000 annual miles. | Plan 1: Bodily Injury $25,000 per person/ $50,000 per occurrence; Property Damage $15,000; Uninsured/Underinsured Motorist $25,000 per person/ $50,000 per occurrence; Medical Payments $5,000; Comprehensive $1000 deductible; Collision $1000 deductible",25,male,single,,0,0,full,25/50/15,1000,1000,2019 Toyota Camry LE Automatic.5L Automatic,15000,,,"UM/UIM 25/50; MedPay $5,000; commute <10 miles one way"
co-2023,co-A-P2,"Driver A: 25-yr old male, single, principal operator, less than 10 miles to work one way, no accidents or traffic convictions in three years, 15,000 annual miles. | Plan 2: Bodily Injury $50,000 per person/ $100,000 per occurrence; Property Damage $25,000; Uninsured/Underinsured Motorist $50,000 per person/ $100,000 per occurrence; Medical Payments $5,000; Comprehensive $500 deductible; Collision $500 deductible",25,male,single,,0,0,full,50/100/25,500,500,2019 Toyota Camry LE Automatic.5L Automatic,15000,,,"UM/UIM 50/100; MedPay $5,000; commute <10 miles one way"
co-2023,co-A-P3,"Driver A: 25-yr old male, single, principal operator, less than 10 miles to work one way, no accidents or traffic convictions in three years, 15,000 annual miles. | Plan 3: Bodily Injury $100,000 per person/ $300,000 per occurrence; Property Damage $50,000; Uninsured/Underinsured Motorist $100,000 per person/ $300,000 per occurrence; Medical Payments $5,000; Comprehensive $500 deductible; Collision $500 deductible",25,male,single,,0,0,full,100/300/50,500,500,2019 Toyota Camry LE Automatic.5L Automatic,15000,,,"UM/UIM 100/300; MedPay $5,000; commute <10 miles one way"
co-2023,co-B-P1,"Driver B: 25-yr old female, single, principal operator, less than 10 miles to work one way, no accidents or traffic convictions in three years, 15,000 annual miles. | Plan 1: Bodily Injury $25,000 per person/ $50,000 per occurrence; Property Damage $15,000; Uninsured/Underinsured Motorist $25,000 per person/ $50,000 per occurrence; Medical Payments $5,000; Comprehensive $1000 deductible; Collision $1000 deductible",25,female,single,,0,0,full,25/50/15,1000,1000,2019 Toyota Camry LE Automatic.5L Automatic,15000,,,"UM/UIM 25/50; MedPay $5,000; commute <10 miles one way"
co-2023,co-B-P2,"Driver B: 25-yr old female, single, principal operator, less than 10 miles to work one way, no accidents or traffic convictions in three years, 15,000 annual miles. | Plan 2: Bodily Injury $50,000 per person/ $100,000 per occurrence; Property Damage $25,000; Uninsured/Underinsured Motorist $50,000 per person/ $100,000 per occurrence; Medical Payments $5,000; Comprehensive $500 deductible; Collision $500 deductible",25,female,single,,0,0,full,50/100/25,500,500,2019 Toyota Camry LE Automatic.5L Automatic,15000,,,"UM/UIM 50/100; MedPay $5,000; commute <10 miles one way"
co-2023,co-B-P3,"Driver B: 25-yr old female, single, principal operator, less than 10 miles to work one way, no accidents or traffic convictions in three years, 15,000 annual miles. | Plan 3: Bodily Injury $100,000 per person/ $300,000 per occurrence; Property Damage $50,000; Uninsured/Underinsured Motorist $100,000 per person/ $300,000 per occurrence; Medical Payments $5,000; Comprehensive $500 deductible; Collision $500 deductible",25,female,single,,0,0,full,100/300/50,500,500,2019 Toyota Camry LE Automatic.5L Automatic,15000,,,"UM/UIM 100/300; MedPay $5,000; commute <10 miles one way"
co-2023,co-C-P1,"Driver C: 45-yr old male, married, principal operator, less than 15 miles to work one way, no accidents or traffic convictions in three years, 15,000 annual miles. | Plan 1: Bodily Injury $25,000 per person/ $50,000 per occurrence; Property Damage $15,000; Uninsured/Underinsured Motorist $25,000 per person/ $50,000 per occurrence; Medical Payments $5,000; Comprehensive $1000 deductible; Collision $1000 deductible",45,male,married,,0,0,full,25/50/15,1000,1000,2019 Toyota Camry LE Automatic.5L Automatic,15000,,,"UM/UIM 25/50; MedPay $5,000; commute <15 miles one way"
co-2023,co-C-P2,"Driver C: 45-yr old male, married, principal operator, less than 15 miles to work one way, no accidents or traffic convictions in three years, 15,000 annual miles. | Plan 2: Bodily Injury $50,000 per person/ $100,000 per occurrence; Property Damage $25,000; Uninsured/Underinsured Motorist $50,000 per person/ $100,000 per occurrence; Medical Payments $5,000; Comprehensive $500 deductible; Collision $500 deductible",45,male,married,,0,0,full,50/100/25,500,500,2019 Toyota Camry LE Automatic.5L Automatic,15000,,,"UM/UIM 50/100; MedPay $5,000; commute <15 miles one way"
co-2023,co-C-P3,"Driver C: 45-yr old male, married, principal operator, less than 15 miles to work one way, no accidents or traffic convictions in three years, 15,000 annual miles. | Plan 3: Bodily Injury $100,000 per person/ $300,000 per occurrence; Property Damage $50,000; Uninsured/Underinsured Motorist $100,000 per person/ $300,000 per occurrence; Medical Payments $5,000; Comprehensive $500 deductible; Collision $500 deductible",45,male,married,,0,0,full,100/300/50,500,500,2019 Toyota Camry LE Automatic.5L Automatic,15000,,,"UM/UIM 100/300; MedPay $5,000; commute <15 miles one way"
co-2023,co-D-P1,"Driver D: 72-yr old female, married, pleasure use only, no accidents or traffic convictions in three years, 7.5k annual miles. | Plan 1: Bodily Injury $25,000 per person/ $50,000 per occurrence; Property Damage $15,000; Uninsured/Underinsured Motorist $25,000 per person/ $50,000 per occurrence; Medical Payments $5,000; Comprehensive $1000 deductible; Collision $1000 deductible",72,female,married,,0,0,full,25/50/15,1000,1000,2019 Toyota Camry LE Automatic.5L Automatic,7500,,,"UM/UIM 25/50; MedPay $5,000; pleasure use only"
