source_id,state,data_year,url,locator,territory,carrier,profile_id,annual_premium
dc-2024,DC,2024,https://disb.dc.gov/sites/default/files/dc/sites/disb/publication/attachments/2024_auto_premium_comparison_8-15-2024_website.pdf,"PDF p.2 table '2024 AUTOMOBILE INSURANCE PREMIUM COMPARISON SAMPLE PROFILES (6 month policy)', row 'AIG Property Casualty Company' (effective 7/15/2023), column 'MARRIED COUPLE AGE 25' = $680 per 6 months",statewide,AIG Property Casualty Company,dc-married-25,1360
dc-2024,DC,2024,https://disb.dc.gov/sites/default/files/dc/sites/disb/publication/attachments/2024_auto_premium_comparison_8-15-2024_website.pdf,"PDF p.2 table '2024 AUTOMOBILE INSURANCE PREMIUM COMPARISON SAMPLE PROFILES (6 month policy)', row 'AIG Property Casualty Company' (effective 7/15/2023), column 'MARRIED COUPLE AGE 39' = $496 per 6 months",statewide,AIG Property Casualty Company,dc-married-39,992
dc-2024,DC,2024,https://disb.dc.gov/sites/default/files/dc/sites/disb/publication/attachments/2024_auto_premium_comparison_8-15-2024_website.pdf,"PDF p.2 table '2024 AUTOMOBILE INSURANCE PREMIUM COMPARISON SAMPLE PROFILES (6 month policy)', row 'AIG Property Casualty Company' (effective 7/15/2023), column 'MARRIED COUPLE AGE 66' = $371 per 6 months",statewide,AIG Property Casualty Company,dc-married-66,742
dc-2024,DC,2024,https://disb.dc.gov/sites/default/files/dc/sites/disb/publication/attachments/2024_auto_premium_comparison_8-15-2024_website.pdf,"PDF p.2 table '2024 AUTOMOBILE INSURANCE PREMIUM COMPARISON SAMPLE PROFILES (6 month policy)', row 'AIG Property Casualty Company' (effective 7/15/2023), column 'SINGLE FEMALE AGE 25' = $811 per 6 months",statewide,AIG Property Casualty Company,dc-single-female-25,1622
dc-2024,DC,2024,https://disb.dc.gov/sites/default/files/dc/sites/disb/publication/attachments/2024_auto_premium_comparison_8-15-2024_website.pdf,"PDF p.2 table '2024 AUTOMOBILE INSURANCE PREMIUM COMPARISON SAMPLE PROFILES (6 month policy)', row 'AIG Property Casualty Company' (effective 7/15/2023), column 'SINGLE FEMALE AGE 39' = $496 per 6 months",statewide,AIG Property Casualty Company,dc-single-female-39,992
dc-2024,DC,2024,https://disb.dc.gov/sites/default/files/dc/sites/disb/publication/attachments/2024_auto_premium_comparison_8-15-2024_website.pdf,"PDF p.2 table '2024 AUTOMOBILE INSURANCE PREMIUM COMPARISON SAMPLE PROFILES (6 month policy)', row 'AIG Property Casualty Company' (effective 7/15/2023), column 'SINGLE FEMALE AGE 66' = $388 per 6 months",statewide,AIG Property Casualty Company,dc-single-female-66,776
dc-2024,DC,2024,https://disb.dc.gov/sites/default/files/dc/sites/disb/publication/attachments/2024_auto_premium_comparison_8-15-2024_website.pdf,"PDF p.2 table '2024 AUTOMOBILE INSURANCE PREMIUM COMPARISON SAMPLE PROFILES (6 month policy)', row 'AIG Property Casualty Company' (effective 7/15/2023), column 'SINGLE MALE AGE 25' = $1,032 per 6 months",statewide,AIG Property Casualty Company,dc-single-male-25,2064
dc-2024,DC,2024,https://disb.dc.gov/sites/default/files/dc/sites/disb/publication/attachments/2024_auto_premium_comparison_8-15-2024_website.pdf,"PDF p.2 table '2024 AUTOMOBILE INSURANCE PREMIUM COMPARISON SAMPLE PROFILES (6 month policy)', row 'AIG Property Casualty Company' (effective 7/15/2023), column 'SINGLE MALE AGE 39' = $496 per 6 months",statewide,AIG Property Casualty Company,dc-single-male-39,992
dc-2024,DC,2024,https://disb.dc.gov/sites/default/files/dc/sites/disb/publication/attachments/2024_auto_premium_comparison_8-15-2024_website.pdf,"PDF p.2 table '2024 AUTOMOBILE INSURANCE PREMIUM COMPARISON SAMPLE PROFILES (6 month policy)', row 'AIG Property Casualty Company' (effective 7/15/2023), column 'SINGLE MALE AGE 66' = $388 per 6 months",statewide,AIG Property Casualty Company,dc-single-male-66,776
dc-2024,DC,2024,https://disb.dc.gov/sites/default/files/dc/sites/disb/publication/attachments/2024_auto_premium_comparison_8-15-2024_website.pdf,"PDF p.2 table '2024 AUTOMOBILE INSURANCE PREMIUM COMPARISON SAMPLE PROFILES (6 month policy)', row 'Allstate Indemnity Company' (effective 11/13/2023), column 'MARRIED COUPLE AGE 25' = $866 per 6 months",statewide,Allstate Indemnity Company,dc-married-25,1732
dc-2024,DC,2024,https://disb.dc.gov/sites/default/files/dc/sites/disb/publication/attachments/2024_auto_premium_comparison_8-15-2024_website.pdf,"PDF p.2 table '2024 AUTOMOBILE INSURANCE PREMIUM COMPARISON SAMPLE PROFILES (6 month policy)', row 'Allstate Indemnity Company' (effective 11/13/2023), column 'MARRIED COUPLE AGE 39' = $881 per 6 months",statewide,Allstate Indemnity Company,dc-married-39,1762
dc-2024,DC,2024,https://disb.dc.gov/sites/default/files/dc/sites/disb/publication/attachments/2024_auto_premium_comparison_8-15-2024_website.pdf,"PDF p.2 table '2024 AUTOMOBILE INSURANCE PREMIUM COMPARISON SAMPLE PROFILES (6 month policy)', row 'Allstate Indemnity Company' (effective 11/13/2023), column 'MARRIED COUPLE AGE 66' = $910 per 6 months",statewide,Allstate Indemnity Company,dc-married-66,1820
