series,make,model,body_class,size,model_years,collision,property_damage,comprehensive,pip,med_pay,bodily_injury,locator,url
Mini Cooper,Mini,Cooper,Two-door cars,Mini,2022-24,70,65,67,65,51,63,web table: Model years '2022-24' > class 'Two-door cars' > size 'Mini'; API POST /api/hldilosses/getviewmodel ModelYears=2022-2024 VehicleClassId=1 VehicleSizeId=1 (raw/api_2022-2024/class1_size1.json) row 'Mini Cooper',https://www.iihs.org/research-areas/auto-insurance/insurance-losses-by-make-and-model
Mini Cooper convertible,Mini,Cooper convertible,Two-door cars,Mini,2022-24,65,57,89,52,,,web table: Model years '2022-24' > class 'Two-door cars' > size 'Mini'; API POST /api/hldilosses/getviewmodel ModelYears=2022-2024 VehicleClassId=1 VehicleSizeId=1 (raw/api_2022-2024/class1_size1.json) row 'Mini Cooper convertible',https://www.iihs.org/research-areas/auto-insurance/insurance-losses-by-make-and-model
Mini Cooper electric 2dr,Mini,Cooper electric 2dr,Two-door cars,Mini,2022-24,61,64,53,54,,,web table: Model years '2022-24' > class 'Two-door cars' > size 'Mini'; API POST /api/hldilosses/getviewmodel ModelYears=2022-2024 VehicleClassId=1 VehicleSizeId=1 (raw/api_2022-2024/class1_size1.json) row 'Mini Cooper electric 2dr',https://www.iihs.org/research-areas/auto-insurance/insurance-losses-by-make-and-model
Mini Cooper,Mini,Cooper,Four-door cars,Mini,2022-24,75,77,91,67,,73,web table: Model years '2022-24' > class 'Four-door cars' > size 'Mini'; API POST /api/hldilosses/getviewmodel ModelYears=2022-2024 VehicleClassId=2 VehicleSizeId=1 (raw/api_2022-2024/class2_size1.json) row 'Mini Cooper',https://www.iihs.org/research-areas/auto-insurance/insurance-losses-by-make-and-model
Acura Integra 4dr,Acura,Integra 4dr,Four-door cars,Small,2022-24,120,94,100,147,141,101,web table: Model years '2022-24' > class 'Four-door cars' > size 'Small'; API POST /api/hldilosses/getviewmodel ModelYears=2022-2024 VehicleClassId=2 VehicleSizeId=2 (raw/api_2022-2024/class2_size2.json) row 'Acura Integra 4dr',https://www.iihs.org/research-areas/auto-insurance/insurance-losses-by-make-and-model
Honda Civic,Honda,Civic,Four-door cars,Small,2022-24,121,125,88,159,147,139,web table: Model years '2022-24' > class 'Four-door cars' > size 'Small'; API POST /api/hldilosses/getviewmodel ModelYears=2022-2024 VehicleClassId=2 VehicleSizeId=2 (raw/api_2022-2024/class2_size2.json) row 'Honda Civic',https://www.iihs.org/research-areas/auto-insurance/insurance-losses-by-make-and-model
Honda Civic hatchback,Honda,Civic hatchback,Four-door cars,Small,2022-24,113,114,87,134,132,123,web table: Model years '2022-24' > class 'Four-door cars' > size 'Small'; API POST /api/hldilosses/getviewmodel ModelYears=2022-2024 VehicleClassId=2 VehicleSizeId=2 (raw/api_2022-2024/class2_size2.json) row 'Honda Civic hatchback',https://www.iihs.org/research-areas/auto-insurance/insurance-losses-by-make-and-model
Honda Civic Si,Honda,Civic Si,Four-door cars,Small,2022-24,118,87,106,132,123,118,web table: Model years '2022-24' > class 'Four-door cars' > size 'Small'; API POST /api/hldilosses/getviewmodel ModelYears=2022-2024 VehicleClassId=2 VehicleSizeId=2 (raw/api_2022-2024/class2_size2.json) row 'Honda Civic Si',https://www.iihs.org/research-areas/auto-insurance/insurance-losses-by-make-and-model
Hyundai Elantra,Hyundai,Elantra,Four-door cars,Small,2022-24,134,120,109,173,193,151,web table: Model years '2022-24' > class 'Four-door cars' > size 'Small'; API POST /api/hldilosses/getviewmodel ModelYears=2022-2024 VehicleClassId=2 VehicleSizeId=2 (raw/api_2022-2024/class2_size2.json) row 'Hyundai Elantra',https://www.iihs.org/research-areas/auto-insurance/insurance-losses-by-make-and-model
Hyundai Elantra hybrid,Hyundai,Elantra hybrid,Four-door cars,Small,2022-24,145,123,113,154,176,139,web table: Model years '2022-24' > class 'Four-door cars' > size 'Small'; API POST /api/hldilosses/getviewmodel ModelYears=2022-2024 VehicleClassId=2 VehicleSizeId=2 (raw/api_2022-2024/class2_size2.json) row 'Hyundai Elantra hybrid',https://www.iihs.org/research-areas/auto-insurance/insurance-losses-by-make-and-model
Kia Forte,Kia,Forte,Four-door cars,Small,2022-24,128,141,108,178,229,188,web table: Model years '2022-24' > class 'Four-door cars' > size 'Small'; API POST /api/hldilosses/getviewmodel ModelYears=2022-2024 VehicleClassId=2 VehicleSizeId=2 (raw/api_2022-2024/class2_size2.json) row 'Kia Forte',https://www.iihs.org/research-areas/auto-insurance/insurance-losses-by-make-and-model
