subtotal_label,body_class,size,model_years,all_coverages,collision,property_damage,comprehensive,pip,med_pay,bodily_injury,locator,url
Minicar 2-door,Two-door cars,Mini,2022-24,64,66,62,69,59,57,62,web table: Model years '2022-24' > class 'Two-door cars' > size 'Mini'; API POST /api/hldilosses/getviewmodel ModelYears=2022-2024 VehicleClassId=1 VehicleSizeId=1 (raw/api_2022-2024/class1_size1.json) subtotal row 'Minicar 2-door',https://www.iihs.org/research-areas/auto-insurance/insurance-losses-by-make-and-model
Smallcar 2-door,Two-door cars,Small,2022-24,118,158,89,104,121,113,100,web table: Model years '2022-24' > class 'Two-door cars' > size 'Small'; API POST /api/hldilosses/getviewmodel ModelYears=2022-2024 VehicleClassId=1 VehicleSizeId=2 (raw/api_2022-2024/class1_size2.json) subtotal row 'Smallcar 2-door',https://www.iihs.org/research-areas/auto-insurance/insurance-losses-by-make-and-model
Large car 2-door,Two-door cars,Large,2022-24,165,175,157,168,120,140,174,web table: Model years '2022-24' > class 'Two-door cars' > size 'Large'; API POST /api/hldilosses/getviewmodel ModelYears=2022-2024 VehicleClassId=1 VehicleSizeId=4 (raw/api_2022-2024/class1_size4.json) subtotal row 'Large car 2-door',https://www.iihs.org/research-areas/auto-insurance/insurance-losses-by-make-and-model
Micro 4dr car,Four-door cars,Micro,2022-24,148,116,128,108,187,247,200,web table: Model years '2022-24' > class 'Four-door cars' > size 'Micro'; API POST /api/hldilosses/getviewmodel ModelYears=2022-2024 VehicleClassId=2 VehicleSizeId=0 (raw/api_2022-2024/class2_size0.json) subtotal row 'Micro 4dr car',https://www.iihs.org/research-areas/auto-insurance/insurance-losses-by-make-and-model
Minicar 4-door,Four-door cars,Mini,2022-24,142,107,158,85,178,195,185,web table: Model years '2022-24' > class 'Four-door cars' > size 'Mini'; API POST /api/hldilosses/getviewmodel ModelYears=2022-2024 VehicleClassId=2 VehicleSizeId=1 (raw/api_2022-2024/class2_size1.json) subtotal row 'Minicar 4-door',https://www.iihs.org/research-areas/auto-insurance/insurance-losses-by-make-and-model
Smallcar 4-door,Four-door cars,Small,2022-24,123,116,117,93,152,157,139,web table: Model years '2022-24' > class 'Four-door cars' > size 'Small'; API POST /api/hldilosses/getviewmodel ModelYears=2022-2024 VehicleClassId=2 VehicleSizeId=2 (raw/api_2022-2024/class2_size2.json) subtotal row 'Smallcar 4-door',https://www.iihs.org/research-areas/auto-insurance/insurance-losses-by-make-and-model
Midsizecar 4-door,Four-door cars,Midsize,2022-24,127,124,114,109,161,163,138,web table: Model years '2022-24' > class 'Four-door cars' > size 'Midsize'; API POST /api/hldilosses/getviewmodel ModelYears=2022-2024 VehicleClassId=2 VehicleSizeId=3 (raw/api_2022-2024/class2_size3.json) subtotal row 'Midsizecar 4-door',https://www.iihs.org/research-areas/auto-insurance/insurance-losses-by-make-and-model
Large car 4-door,Four-door cars,Large,2022-24,170,182,145,185,155,156,176,web table: Model years '2022-24' > class 'Four-door cars' > size 'Large'; API POST /api/hldilosses/getviewmodel ModelYears=2022-2024 VehicleClassId=2 VehicleSizeId=4 (raw/api_2022-2024/class2_size4.json) subtotal row 'Large car 4-door',https://www.iihs.org/research-areas/auto-insurance/insurance-losses-by-make-and-model
Midsize luxury car,Luxury cars,Midsize,2022-24,117,153,94,120,103,115,95,web table: Model years '2022-24' > class 'Luxury cars' > size 'Midsize'; API POST /api/hldilosses/getviewmodel ModelYears=2022-2024 VehicleClassId=3 VehicleSizeId=3 (raw/api_2022-2024/class3_size3.json) subtotal row 'Midsize luxury car',https://www.iihs.org/research-areas/auto-insurance/insurance-losses-by-make-and-model
Large luxury car,Luxury cars,Large,2022-24,133,188,93,184,81,101,90,web table: Model years '2022-24' > class 'Luxury cars' > size 'Large'; API POST /api/hldilosses/getviewmodel ModelYears=2022-2024 VehicleClassId=3 VehicleSizeId=4 (raw/api_2022-2024/class3_size4.json) subtotal row 'Large luxury car',https://www.iihs.org/research-areas/auto-insurance/insurance-losses-by-make-and-model
Very large luxury car,Luxury cars,Very large,2022-24,204,278,113,388,81,158,127,web table: Model years '2022-24' > class 'Luxury cars' > size 'Very large'; API POST /api/hldilosses/getviewmodel ModelYears=2022-2024 VehicleClassId=3 VehicleSizeId=5 (raw/api_2022-2024/class3_size5.json) subtotal row 'Very large luxury car',https://www.iihs.org/research-areas/auto-insurance/insurance-losses-by-make-and-model
Mini sports car,Sports cars,Mini,2022-24,69,83,51,69,84,72,63,web table: Model years '2022-24' > class 'Sports cars' > size 'Mini'; API POST /api/hldilosses/getviewmodel ModelYears=2022-2024 VehicleClassId=4 VehicleSizeId=1 (raw/api_2022-2024/class4_size1.json) subtotal row 'Mini sports car',https://www.iihs.org/research-areas/auto-insurance/insurance-losses-by-make-and-model
Small sports car,Sports cars,Small,2022-24,,132,45,,36,,,web table: Model years '2022-24' > class 'Sports cars' > size 'Small'; API POST /api/hldilosses/getviewmodel ModelYears=2022-2024 VehicleClassId=4 VehicleSizeId=2 (raw/api_2022-2024/class4_size2.json) subtotal row 'Small sports car',https://www.iihs.org/research-areas/auto-insurance/insurance-losses-by-make-and-model
Midsize sports car,Sports cars,Midsize,2022-24,108,164,67,125,70,74,79,web table: Model years '2022-24' > class 'Sports cars' > size 'Midsize'; API POST /api/hldilosses/getviewmodel ModelYears=2022-2024 VehicleClassId=4 VehicleSizeId=3 (raw/api_2022-2024/class4_size3.json) subtotal row 'Midsize sports car',https://www.iihs.org/research-areas/auto-insurance/insurance-losses-by-make-and-model
Large sports car,Sports cars,Large,2022-24,157,192,103,263,94,107,126,web table: Model years '2022-24' > class 'Sports cars' > size 'Large'; API POST /api/hldilosses/getviewmodel ModelYears=2022-2024 VehicleClassId=4 VehicleSizeId=4 (raw/api_2022-2024/class4_size4.json) subtotal row 'Large sports car',https://www.iihs.org/research-areas/auto-insurance/insurance-losses-by-make-and-model
Very large Minivan,Minivans,Very large,2022-24,89,91,87,85,97,96,89,web table: Model years '2022-24' > class 'Minivans' > size 'Very large'; API POST /api/hldilosses/getviewmodel ModelYears=2022-2024 VehicleClassId=5 VehicleSizeId=5 (raw/api_2022-2024/class5_size5.json) subtotal row 'Very large Minivan',https://www.iihs.org/research-areas/auto-insurance/insurance-losses-by-make-and-model
All small pickups,Pickups,Small,2022-24,90,81,108,77,80,80,96,web table: Model years '2022-24' > class 'Pickups' > size 'Small'; API POST /api/hldilosses/getviewmodel ModelYears=2022-2024 VehicleClassId=6 VehicleSizeId=2 (raw/api_2022-2024/class6_size2.json) subtotal row 'All small pickups',https://www.iihs.org/research-areas/auto-insurance/insurance-losses-by-make-and-model
All large pickups,Pickups,Large,2022-24,99,93,111,114,72,69,100,web table: Model years '2022-24' > class 'Pickups' > size 'Large'; API POST /api/hldilosses/getviewmodel ModelYears=2022-2024 VehicleClassId=6 VehicleSizeId=4 (raw/api_2022-2024/class6_size4.json) subtotal row 'All large pickups',https://www.iihs.org/research-areas/auto-insurance/insurance-losses-by-make-and-model
All very large pickups,Pickups,Very large,2022-24,116,88,157,163,54,52,121,web table: Model years '2022-24' > class 'Pickups' > size 'Very large'; API POST /api/hldilosses/getviewmodel ModelYears=2022-2024 VehicleClassId=6 VehicleSizeId=5 (raw/api_2022-2024/class6_size5.json) subtotal row 'All very large pickups',https://www.iihs.org/research-areas/auto-insurance/insurance-losses-by-make-and-model
Mini SUV,SUVs,Mini,2022-24,109,92,114,78,132,142,131,web table: Model years '2022-24' > class 'SUVs' > size 'Mini'; API POST /api/hldilosses/getviewmodel ModelYears=2022-2024 VehicleClassId=8 VehicleSizeId=1 (raw/api_2022-2024/class8_size1.json) subtotal row 'Mini SUV',https://www.iihs.org/research-areas/auto-insurance/insurance-losses-by-make-and-model
Small SUV,SUVs,Small,2022-24,92,84,94,81,109,111,97,web table: Model years '2022-24' > class 'SUVs' > size 'Small'; API POST /api/hldilosses/getviewmodel ModelYears=2022-2024 VehicleClassId=8 VehicleSizeId=2 (raw/api_2022-2024/class8_size2.json) subtotal row 'Small SUV',https://www.iihs.org/research-areas/auto-insurance/insurance-losses-by-make-and-model
Midsize SUV,SUVs,Midsize,2022-24,88,84,94,89,92,87,87,web table: Model years '2022-24' > class 'SUVs' > size 'Midsize'; API POST /api/hldilosses/getviewmodel ModelYears=2022-2024 VehicleClassId=8 VehicleSizeId=3 (raw/api_2022-2024/class8_size3.json) subtotal row 'Midsize SUV',https://www.iihs.org/research-areas/auto-insurance/insurance-losses-by-make-and-model
Large SUV,SUVs,Large,2022-24,89,86,95,105,75,67,84,web table: Model years '2022-24' > class 'SUVs' > size 'Large'; API POST /api/hldilosses/getviewmodel ModelYears=2022-2024 VehicleClassId=8 VehicleSizeId=4 (raw/api_2022-2024/class8_size4.json) subtotal row 'Large SUV',https://www.iihs.org/research-areas/auto-insurance/insurance-losses-by-make-and-model
Very large SUV,SUVs,Very large,2022-24,99,99,111,110,76,68,96,web table: Model years '2022-24' > class 'SUVs' > size 'Very large'; API POST /api/hldilosses/getviewmodel ModelYears=2022-2024 VehicleClassId=8 VehicleSizeId=5 (raw/api_2022-2024/class8_size5.json) subtotal row 'Very large SUV',https://www.iihs.org/research-areas/auto-insurance/insurance-losses-by-make-and-model
Midsize van,Vans,Midsize,2022-24,,87,112,93,94,,,web table: Model years '2022-24' > class 'Vans' > size 'Midsize'; API POST /api/hldilosses/getviewmodel ModelYears=2022-2024 VehicleClassId=9 VehicleSizeId=3 (raw/api_2022-2024/class9_size3.json) subtotal row 'Midsize van',https://www.iihs.org/research-areas/auto-insurance/insurance-losses-by-make-and-model
Large van,Vans,Large,2022-24,,72,100,102,,,,web table: Model years '2022-24' > class 'Vans' > size 'Large'; API POST /api/hldilosses/getviewmodel ModelYears=2022-2024 VehicleClassId=9 VehicleSizeId=4 (raw/api_2022-2024/class9_size4.json) subtotal row 'Large van',https://www.iihs.org/research-areas/auto-insurance/insurance-losses-by-make-and-model
Very large van,Vans,Very large,2022-24,84,77,91,95,60,55,94,web table: Model years '2022-24' > class 'Vans' > size 'Very large'; API POST /api/hldilosses/getviewmodel ModelYears=2022-2024 VehicleClassId=9 VehicleSizeId=5 (raw/api_2022-2024/class9_size5.json) subtotal row 'Very large van',https://www.iihs.org/research-areas/auto-insurance/insurance-losses-by-make-and-model
Mini station wagon,Station wagons,Mini,2022-24,,81,126,69,137,,,web table: Model years '2022-24' > class 'Station wagons' > size 'Mini'; API POST /api/hldilosses/getviewmodel ModelYears=2022-2024 VehicleClassId=11 VehicleSizeId=1 (raw/api_2022-2024/class11_size1.json) subtotal row 'Mini station wagon',https://www.iihs.org/research-areas/auto-insurance/insurance-losses-by-make-and-model
Small station wagon,Station wagons,Small,2022-24,80,70,88,76,93,93,84,web table: Model years '2022-24' > class 'Station wagons' > size 'Small'; API POST /api/hldilosses/getviewmodel ModelYears=2022-2024 VehicleClassId=11 VehicleSizeId=2 (raw/api_2022-2024/class11_size2.json) subtotal row 'Small station wagon',https://www.iihs.org/research-areas/auto-insurance/insurance-losses-by-make-and-model
Midsize station wagon,Station wagons,Midsize,2022-24,67,63,68,84,71,74,58,web table: Model years '2022-24' > class 'Station wagons' > size 'Midsize'; API POST /api/hldilosses/getviewmodel ModelYears=2022-2024 VehicleClassId=11 VehicleSizeId=3 (raw/api_2022-2024/class11_size3.json) subtotal row 'Midsize station wagon',https://www.iihs.org/research-areas/auto-insurance/insurance-losses-by-make-and-model
Small luxury SUV,Luxury SUVs,Small,2022-24,92,93,92,80,94,104,96,web table: Model years '2022-24' > class 'Luxury SUVs' > size 'Small'; API POST /api/hldilosses/getviewmodel ModelYears=2022-2024 VehicleClassId=14 VehicleSizeId=2 (raw/api_2022-2024/class14_size2.json) subtotal row 'Small luxury SUV',https://www.iihs.org/research-areas/auto-insurance/insurance-losses-by-make-and-model
Midsize luxury SUV,Luxury SUVs,Midsize,2022-24,95,116,83,110,83,85,74,web table: Model years '2022-24' > class 'Luxury SUVs' > size 'Midsize'; API POST /api/hldilosses/getviewmodel ModelYears=2022-2024 VehicleClassId=14 VehicleSizeId=3 (raw/api_2022-2024/class14_size3.json) subtotal row 'Midsize luxury SUV',https://www.iihs.org/research-areas/auto-insurance/insurance-losses-by-make-and-model
Large luxury SUV,Luxury SUVs,Large,2022-24,116,153,93,180,63,71,77,web table: Model years '2022-24' > class 'Luxury SUVs' > size 'Large'; API POST /api/hldilosses/getviewmodel ModelYears=2022-2024 VehicleClassId=14 VehicleSizeId=4 (raw/api_2022-2024/class14_size4.json) subtotal row 'Large luxury SUV',https://www.iihs.org/research-areas/auto-insurance/insurance-losses-by-make-and-model
