source_id,state,data_year,url,locator,territory,carrier,profile_id,annual_premium
nd-2026,ND,2026,https://www.insurance.nd.gov/sites/default/files/documents/Consumers/Auto/2026%20Auto%20Insurance%20Cost%20Survey.pdf,PDF p.4 (printed p.6) table 'Example #1' row 'Allstate' column 'Fargo'; printed 6-month value 1510,Fargo,Allstate,nd-2026-ex01,3020
nd-2026,ND,2026,https://www.insurance.nd.gov/sites/default/files/documents/Consumers/Auto/2026%20Auto%20Insurance%20Cost%20Survey.pdf,PDF p.4 (printed p.6) table 'Example #1' row 'Allstate' column 'Bismarck / Mandan'; printed 6-month value 1461,Bismarck / Mandan,Allstate,nd-2026-ex01,2922
nd-2026,ND,2026,https://www.insurance.nd.gov/sites/default/files/documents/Consumers/Auto/2026%20Auto%20Insurance%20Cost%20Survey.pdf,PDF p.4 (printed p.6) table 'Example #1' row 'Allstate' column 'Grand Forks'; printed 6-month value 1276,Grand Forks,Allstate,nd-2026-ex01,2552
nd-2026,ND,2026,https://www.insurance.nd.gov/sites/default/files/documents/Consumers/Auto/2026%20Auto%20Insurance%20Cost%20Survey.pdf,PDF p.4 (printed p.6) table 'Example #1' row 'Allstate' column 'Minot'; printed 6-month value 1337,Minot,Allstate,nd-2026-ex01,2674
nd-2026,ND,2026,https://www.insurance.nd.gov/sites/default/files/documents/Consumers/Auto/2026%20Auto%20Insurance%20Cost%20Survey.pdf,PDF p.4 (printed p.6) table 'Example #1' row 'Allstate' column 'Remainder of State'; printed 6-month value 1384,Remainder of State,Allstate,nd-2026-ex01,2768
nd-2026,ND,2026,https://www.insurance.nd.gov/sites/default/files/documents/Consumers/Auto/2026%20Auto%20Insurance%20Cost%20Survey.pdf,PDF p.4 (printed p.6) table 'Example #1' row 'Allstate North American' column 'Fargo'; printed 6-month value 476,Fargo,Allstate North American,nd-2026-ex01,952
nd-2026,ND,2026,https://www.insurance.nd.gov/sites/default/files/documents/Consumers/Auto/2026%20Auto%20Insurance%20Cost%20Survey.pdf,PDF p.4 (printed p.6) table 'Example #1' row 'Allstate North American' column 'Bismarck / Mandan'; printed 6-month value 438,Bismarck / Mandan,Allstate North American,nd-2026-ex01,876
nd-2026,ND,2026,https://www.insurance.nd.gov/sites/default/files/documents/Consumers/Auto/2026%20Auto%20Insurance%20Cost%20Survey.pdf,PDF p.4 (printed p.6) table 'Example #1' row 'Allstate North American' column 'Grand Forks'; printed 6-month value 464,Grand Forks,Allstate North American,nd-2026-ex01,928
nd-2026,ND,2026,https://www.insurance.nd.gov/sites/default/files/documents/Consumers/Auto/2026%20Auto%20Insurance%20Cost%20Survey.pdf,PDF p.4 (printed p.6) table 'Example #1' row 'Allstate North American' column 'Minot'; printed 6-month value 478,Minot,Allstate North American,nd-2026-ex01,956
nd-2026,ND,2026,https://www.insurance.nd.gov/sites/default/files/documents/Consumers/Auto/2026%20Auto%20Insurance%20Cost%20Survey.pdf,PDF p.4 (printed p.6) table 'Example #1' row 'Allstate North American' column 'Remainder of State'; printed 6-month value 477,Remainder of State,Allstate North American,nd-2026-ex01,954
nd-2026,ND,2026,https://www.insurance.nd.gov/sites/default/files/documents/Consumers/Auto/2026%20Auto%20Insurance%20Cost%20Survey.pdf,PDF p.4 (printed p.6) table 'Example #1' row 'American Family' column 'Fargo'; printed 6-month value 454,Fargo,American Family,nd-2026-ex01,908
nd-2026,ND,2026,https://www.insurance.nd.gov/sites/default/files/documents/Consumers/Auto/2026%20Auto%20Insurance%20Cost%20Survey.pdf,PDF p.4 (printed p.6) table 'Example #1' row 'American Family' column 'Bismarck / Mandan'; printed 6-month value 515,Bismarck / Mandan,American Family,nd-2026-ex01,1030
nd-2026,ND,2026,https://www.insurance.nd.gov/sites/default/files/documents/Consumers/Auto/2026%20Auto%20Insurance%20Cost%20Survey.pdf,PDF p.4 (printed p.6) table 'Example #1' row 'American Family' column 'Grand Forks'; printed 6-month value 452,Grand Forks,American Family,nd-2026-ex01,904
nd-2026,ND,2026,https://www.insurance.nd.gov/sites/default/files/documents/Consumers/Auto/2026%20Auto%20Insurance%20Cost%20Survey.pdf,PDF p.4 (printed p.6) table 'Example #1' row 'American Family' column 'Minot'; printed 6-month value 492,Minot,American Family,nd-2026-ex01,984
nd-2026,ND,2026,https://www.insurance.nd.gov/sites/default/files/documents/Consumers/Auto/2026%20Auto%20Insurance%20Cost%20Survey.pdf,PDF p.4 (printed p.6) table 'Example #1' row 'American Family' column 'Remainder of State'; printed 6-month value 441,Remainder of State,American Family,nd-2026-ex01,882
nd-2026,ND,2026,https://www.insurance.nd.gov/sites/default/files/documents/Consumers/Auto/2026%20Auto%20Insurance%20Cost%20Survey.pdf,PDF p.4 (printed p.6) table 'Example #1' row 'Auto Owners' column 'Fargo'; printed 6-month value 961,Fargo,Auto Owners,nd-2026-ex01,1922
nd-2026,ND,2026,https://www.insurance.nd.gov/sites/default/files/documents/Consumers/Auto/2026%20Auto%20Insurance%20Cost%20Survey.pdf,PDF p.4 (printed p.6) table 'Example #1' row 'Auto Owners' column 'Bismarck / Mandan'; printed 6-month value 1094,Bismarck / Mandan,Auto Owners,nd-2026-ex01,2188
nd-2026,ND,2026,https://www.insurance.nd.gov/sites/default/files/documents/Consumers/Auto/2026%20Auto%20Insurance%20Cost%20Survey.pdf,PDF p.4 (printed p.6) table 'Example #1' row 'Auto Owners' column 'Grand Forks'; printed 6-month value 935,Grand Forks,Auto Owners,nd-2026-ex01,1870
nd-2026,ND,2026,https://www.insurance.nd.gov/sites/default/files/documents/Consumers/Auto/2026%20Auto%20Insurance%20Cost%20Survey.pdf,PDF p.4 (printed p.6) table 'Example #1' row 'Auto Owners' column 'Minot'; printed 6-month value 934,Minot,Auto Owners,nd-2026-ex01,1868
nd-2026,ND,2026,https://www.insurance.nd.gov/sites/default/files/documents/Consumers/Auto/2026%20Auto%20Insurance%20Cost%20Survey.pdf,PDF p.4 (printed p.6) table 'Example #1' row 'Auto Owners' column 'Remainder of State'; printed 6-month value 941,Remainder of State,Auto Owners,nd-2026-ex01,1882
nd-2026,ND,2026,https://www.insurance.nd.gov/sites/default/files/documents/Consumers/Auto/2026%20Auto%20Insurance%20Cost%20Survey.pdf,PDF p.4 (printed p.6) table 'Example #1' row 'Casualty Insurance' column 'Fargo'; printed 6-month value 744,Fargo,Casualty Insurance,nd-2026-ex01,1488
nd-2026,ND,2026,https://www.insurance.nd.gov/sites/default/files/documents/Consumers/Auto/2026%20Auto%20Insurance%20Cost%20Survey.pdf,PDF p.4 (printed p.6) table 'Example #1' row 'Casualty Insurance' column 'Bismarck / Mandan'; printed 6-month value 762,Bismarck / Mandan,Casualty Insurance,nd-2026-ex01,1524
nd-2026,ND,2026,https://www.insurance.nd.gov/sites/default/files/documents/Consumers/Auto/2026%20Auto%20Insurance%20Cost%20Survey.pdf,PDF p.4 (printed p.6) table 'Example #1' row 'Casualty Insurance' column 'Grand Forks'; printed 6-month value 704,Grand Forks,Casualty Insurance,nd-2026-ex01,1408
nd-2026,ND,2026,https://www.insurance.nd.gov/sites/default/files/documents/Consumers/Auto/2026%20Auto%20Insurance%20Cost%20Survey.pdf,PDF p.4 (printed p.6) table 'Example #1' row 'Casualty Insurance' column 'Minot'; printed 6-month value 706,Minot,Casualty Insurance,nd-2026-ex01,1412
nd-2026,ND,2026,https://www.insurance.nd.gov/sites/default/files/documents/Consumers/Auto/2026%20Auto%20Insurance%20Cost%20Survey.pdf,PDF p.4 (printed p.6) table 'Example #1' row 'Casualty Insurance' column 'Remainder of State'; printed 6-month value 847,Remainder of State,Casualty Insurance,nd-2026-ex01,1694
nd-2026,ND,2026,https://www.insurance.nd.gov/sites/default/files/documents/Consumers/Auto/2026%20Auto%20Insurance%20Cost%20Survey.pdf,PDF p.4 (printed p.6) table 'Example #1' row 'COUNTRY Preferred' column 'Fargo'; printed 6-month value 519,Fargo,COUNTRY Preferred,nd-2026-ex01,1038
nd-2026,ND,2026,https://www.insurance.nd.gov/sites/default/files/documents/Consumers/Auto/2026%20Auto%20Insurance%20Cost%20Survey.pdf,PDF p.4 (printed p.6) table 'Example #1' row 'COUNTRY Preferred' column 'Bismarck / Mandan'; printed 6-month value 545,Bismarck / Mandan,COUNTRY Preferred,nd-2026-ex01,1090
nd-2026,ND,2026,https://www.insurance.nd.gov/sites/default/files/documents/Consumers/Auto/2026%20Auto%20Insurance%20Cost%20Survey.pdf,PDF p.4 (printed p.6) table 'Example #1' row 'COUNTRY Preferred' column 'Grand Forks'; printed 6-month value 493,Grand Forks,COUNTRY Preferred,nd-2026-ex01,986
nd-2026,ND,2026,https://www.insurance.nd.gov/sites/default/files/documents/Consumers/Auto/2026%20Auto%20Insurance%20Cost%20Survey.pdf,PDF p.4 (printed p.6) table 'Example #1' row 'COUNTRY Preferred' column 'Minot'; printed 6-month value 555,Minot,COUNTRY Preferred,nd-2026-ex01,1110
nd-2026,ND,2026,https://www.insurance.nd.gov/sites/default/files/documents/Consumers/Auto/2026%20Auto%20Insurance%20Cost%20Survey.pdf,PDF p.4 (printed p.6) table 'Example #1' row 'COUNTRY Preferred' column 'Remainder of State'; printed 6-month value 535,Remainder of State,COUNTRY Preferred,nd-2026-ex01,1070
nd-2026,ND,2026,https://www.insurance.nd.gov/sites/default/files/documents/Consumers/Auto/2026%20Auto%20Insurance%20Cost%20Survey.pdf,PDF p.4 (printed p.6) table 'Example #1' row 'Farmers Group' column 'Fargo'; printed 6-month value 1558,Fargo,Farmers Group,nd-2026-ex01,3116
nd-2026,ND,2026,https://www.insurance.nd.gov/sites/default/files/documents/Consumers/Auto/2026%20Auto%20Insurance%20Cost%20Survey.pdf,PDF p.4 (printed p.6) table 'Example #1' row 'Farmers Group' column 'Bismarck / Mandan'; printed 6-month value 1801,Bismarck / Mandan,Farmers Group,nd-2026-ex01,3602
nd-2026,ND,2026,https://www.insurance.nd.gov/sites/default/files/documents/Consumers/Auto/2026%20Auto%20Insurance%20Cost%20Survey.pdf,PDF p.4 (printed p.6) table 'Example #1' row 'Farmers Group' column 'Grand Forks'; printed 6-month value 1548,Grand Forks,Farmers Group,nd-2026-ex01,3096
nd-2026,ND,2026,https://www.insurance.nd.gov/sites/default/files/documents/Consumers/Auto/2026%20Auto%20Insurance%20Cost%20Survey.pdf,PDF p.4 (printed p.6) table 'Example #1' row 'Farmers Group' column 'Minot'; printed 6-month value 1659,Minot,Farmers Group,nd-2026-ex01,3318
nd-2026,ND,2026,https://www.insurance.nd.gov/sites/default/files/documents/Consumers/Auto/2026%20Auto%20Insurance%20Cost%20Survey.pdf,PDF p.4 (printed p.6) table 'Example #1' row 'Farmers Group' column 'Remainder of State'; printed 6-month value 1667,Remainder of State,Farmers Group,nd-2026-ex01,3334
nd-2026,ND,2026,https://www.insurance.nd.gov/sites/default/files/documents/Consumers/Auto/2026%20Auto%20Insurance%20Cost%20Survey.pdf,PDF p.4 (printed p.6) table 'Example #1' row 'Farmers Property' column 'Fargo'; printed 6-month value 1643,Fargo,Farmers Property,nd-2026-ex01,3286
nd-2026,ND,2026,https://www.insurance.nd.gov/sites/default/files/documents/Consumers/Auto/2026%20Auto%20Insurance%20Cost%20Survey.pdf,PDF p.4 (printed p.6) table 'Example #1' row 'Farmers Property' column 'Bismarck / Mandan'; printed 6-month value 1847,Bismarck / Mandan,Farmers Property,nd-2026-ex01,3694
nd-2026,ND,2026,https://www.insurance.nd.gov/sites/default/files/documents/Consumers/Auto/2026%20Auto%20Insurance%20Cost%20Survey.pdf,PDF p.4 (printed p.6) table 'Example #1' row 'Farmers Property' column 'Grand Forks'; printed 6-month value 1786,Grand Forks,Farmers Property,nd-2026-ex01,3572
nd-2026,ND,2026,https://www.insurance.nd.gov/sites/default/files/documents/Consumers/Auto/2026%20Auto%20Insurance%20Cost%20Survey.pdf,PDF p.4 (printed p.6) table 'Example #1' row 'Farmers Property' column 'Minot'; printed 6-month value 1751,Minot,Farmers Property,nd-2026-ex01,3502
nd-2026,ND,2026,https://www.insurance.nd.gov/sites/default/files/documents/Consumers/Auto/2026%20Auto%20Insurance%20Cost%20Survey.pdf,PDF p.4 (printed p.6) table 'Example #1' row 'Farmers Property' column 'Remainder of State'; printed 6-month value 1814,Remainder of State,Farmers Property,nd-2026-ex01,3628
nd-2026,ND,2026,https://www.insurance.nd.gov/sites/default/files/documents/Consumers/Auto/2026%20Auto%20Insurance%20Cost%20Survey.pdf,PDF p.4 (printed p.6) table 'Example #1' row 'Garrison' column 'Fargo'; printed 6-month value 911,Fargo,Garrison,nd-2026-ex01,1822
nd-2026,ND,2026,https://www.insurance.nd.gov/sites/default/files/documents/Consumers/Auto/2026%20Auto%20Insurance%20Cost%20Survey.pdf,PDF p.4 (printed p.6) table 'Example #1' row 'Garrison' column 'Bismarck / Mandan'; printed 6-month value 932,Bismarck / Mandan,Garrison,nd-2026-ex01,1864
nd-2026,ND,2026,https://www.insurance.nd.gov/sites/default/files/documents/Consumers/Auto/2026%20Auto%20Insurance%20Cost%20Survey.pdf,PDF p.4 (printed p.6) table 'Example #1' row 'Garrison' column 'Grand Forks'; printed 6-month value 866,Grand Forks,Garrison,nd-2026-ex01,1732
nd-2026,ND,2026,https://www.insurance.nd.gov/sites/default/files/documents/Consumers/Auto/2026%20Auto%20Insurance%20Cost%20Survey.pdf,PDF p.4 (printed p.6) table 'Example #1' row 'Garrison' column 'Minot'; printed 6-month value 876,Minot,Garrison,nd-2026-ex01,1752
nd-2026,ND,2026,https://www.insurance.nd.gov/sites/default/files/documents/Consumers/Auto/2026%20Auto%20Insurance%20Cost%20Survey.pdf,PDF p.4 (printed p.6) table 'Example #1' row 'Garrison' column 'Remainder of State'; printed 6-month value 1053,Remainder of State,Garrison,nd-2026-ex01,2106
