source_id,profile_id,description,driver_age,gender,marital,years_licensed,incidents,violations,coverage,liability_limits,comp_deductible,coll_deductible,vehicle,annual_miles,good_student,driver_training,other
tx-2025,tx-accident,"HelpInsure auto form: gender=Male; marital status=Single; age=25 to 64 (TDI data call rates age 30); credit score=Average; vehicle=Car; use=Mostly for going to work (18,000 mi/yr); caused an accident in past 3 years=Yes; speeding ticket in past 3 years=not asked; coverage limit=30/60/25 (liability only: TDI requests only bodily injury and property damage liability)",30,male,single,,1,0,liability-only,30/60/25,,,"2024 Toyota Camry four-door sedan (site option ""Car"")",18000,,,credit score option: Average; use: commute
tx-2025,tx-age18,"HelpInsure auto form: gender=Male; marital status=Single; age=16 to 24 (TDI data call rates age 18); credit score=Average; vehicle=Car; use=Mostly for going to work (18,000 mi/yr); caused an accident in past 3 years=No; speeding ticket in past 3 years=No; coverage limit=30/60/25 (liability only: TDI requests only bodily injury and property damage liability)",18,male,single,,0,0,liability-only,30/60/25,,,"2024 Toyota Camry four-door sedan (site option ""Car"")",18000,,,credit score option: Average; use: commute
tx-2025,tx-age18_female,"HelpInsure auto form: gender=Female; marital status=Single; age=16 to 24 (TDI data call rates age 18); credit score=Average; vehicle=Car; use=Mostly for going to work (18,000 mi/yr); caused an accident in past 3 years=No; speeding ticket in past 3 years=No; coverage limit=30/60/25 (liability only: TDI requests only bodily injury and property damage liability)",18,female,single,,0,0,liability-only,30/60/25,,,"2024 Toyota Camry four-door sedan (site option ""Car"")",18000,,,credit score option: Average; use: commute
tx-2025,tx-age65,"HelpInsure auto form: gender=Male; marital status=Single; age=65 and older (TDI data call rates age 65); credit score=Average; vehicle=Car; use=Mostly for going to work (18,000 mi/yr); caused an accident in past 3 years=No; speeding ticket in past 3 years=No; coverage limit=30/60/25 (liability only: TDI requests only bodily injury and property damage liability)",65,male,single,,0,0,liability-only,30/60/25,,,"2024 Toyota Camry four-door sedan (site option ""Car"")",18000,,,credit score option: Average; use: commute
tx-2025,tx-age65_married,"HelpInsure auto form: gender=Male; marital status=Married; age=65 and older (TDI data call rates age 65); credit score=Average; vehicle=Car; use=Mostly for going to work (18,000 mi/yr); caused an accident in past 3 years=No; speeding ticket in past 3 years=No; coverage limit=30/60/25 (liability only: TDI requests only bodily injury and property damage liability)",65,male,married,,0,0,liability-only,30/60/25,,,"2024 Toyota Camry four-door sedan (site option ""Car"")",18000,,,credit score option: Average; use: commute
tx-2025,tx-base,"HelpInsure auto form: gender=Male; marital status=Single; age=25 to 64 (TDI data call rates age 30); credit score=Average; vehicle=Car; use=Mostly for going to work (18,000 mi/yr); caused an accident in past 3 years=No; speeding ticket in past 3 years=No; coverage limit=30/60/25 (liability only: TDI requests only bodily injury and property damage liability)",30,male,single,,0,0,liability-only,30/60/25,,,"2024 Toyota Camry four-door sedan (site option ""Car"")",18000,,,credit score option: Average; use: commute
tx-2025,tx-creditGood,"HelpInsure auto form: gender=Male; marital status=Single; age=25 to 64 (TDI data call rates age 30); credit score=Good; vehicle=Car; use=Mostly for going to work (18,000 mi/yr); caused an accident in past 3 years=No; speeding ticket in past 3 years=No; coverage limit=30/60/25 (liability only: TDI requests only bodily injury and property damage liability)",30,male,single,,0,0,liability-only,30/60/25,,,"2024 Toyota Camry four-door sedan (site option ""Car"")",18000,,,credit score option: Good; use: commute
tx-2025,tx-creditPoor,"HelpInsure auto form: gender=Male; marital status=Single; age=25 to 64 (TDI data call rates age 30); credit score=Poor; vehicle=Car; use=Mostly for going to work (18,000 mi/yr); caused an accident in past 3 years=No; speeding ticket in past 3 years=No; coverage limit=30/60/25 (liability only: TDI requests only bodily injury and property damage liability)",30,male,single,,0,0,liability-only,30/60/25,,,"2024 Toyota Camry four-door sedan (site option ""Car"")",18000,,,credit score option: Poor; use: commute
tx-2025,tx-female,"HelpInsure auto form: gender=Female; marital status=Single; age=25 to 64 (TDI data call rates age 30); credit score=Average; vehicle=Car; use=Mostly for going to work (18,000 mi/yr); caused an accident in past 3 years=No; speeding ticket in past 3 years=No; coverage limit=30/60/25 (liability only: TDI requests only bodily injury and property damage liability)",30,female,single,,0,0,liability-only,30/60/25,,,"2024 Toyota Camry four-door sedan (site option ""Car"")",18000,,,credit score option: Average; use: commute
tx-2025,tx-limits100,"HelpInsure auto form: gender=Male; marital status=Single; age=25 to 64 (TDI data call rates age 30); credit score=Average; vehicle=Car; use=Mostly for going to work (18,000 mi/yr); caused an accident in past 3 years=No; speeding ticket in past 3 years=No; coverage limit=100/300/100 (liability only: TDI requests only bodily injury and property damage liability)",30,male,single,,0,0,liability-only,100/300/100,,,"2024 Toyota Camry four-door sedan (site option ""Car"")",18000,,,credit score option: Average; use: commute
tx-2025,tx-limits50,"HelpInsure auto form: gender=Male; marital status=Single; age=25 to 64 (TDI data call rates age 30); credit score=Average; vehicle=Car; use=Mostly for going to work (18,000 mi/yr); caused an accident in past 3 years=No; speeding ticket in past 3 years=No; coverage limit=50/100/50 (liability only: TDI requests only bodily injury and property damage liability)",30,male,single,,0,0,liability-only,50/100/50,,,"2024 Toyota Camry four-door sedan (site option ""Car"")",18000,,,credit score option: Average; use: commute
tx-2025,tx-married,"HelpInsure auto form: gender=Male; marital status=Married; age=25 to 64 (TDI data call rates age 30); credit score=Average; vehicle=Car; use=Mostly for going to work (18,000 mi/yr); caused an accident in past 3 years=No; speeding ticket in past 3 years=No; coverage limit=30/60/25 (liability only: TDI requests only bodily injury and property damage liability)",30,male,married,,0,0,liability-only,30/60/25,,,"2024 Toyota Camry four-door sedan (site option ""Car"")",18000,,,credit score option: Average; use: commute
tx-2025,tx-pleasure,"HelpInsure auto form: gender=Male; marital status=Single; age=25 to 64 (TDI data call rates age 30); credit score=Average; vehicle=Car; use=Mostly for pleasure (10,000 mi/yr); caused an accident in past 3 years=No; speeding ticket in past 3 years=No; coverage limit=30/60/25 (liability only: TDI requests only bodily injury and property damage liability)",30,male,single,,0,0,liability-only,30/60/25,,,"2024 Toyota Camry four-door sedan (site option ""Car"")",10000,,,credit score option: Average; use: pleasure
tx-2025,tx-speeding,"HelpInsure auto form: gender=Male; marital status=Single; age=25 to 64 (TDI data call rates age 30); credit score=Average; vehicle=Car; use=Mostly for going to work (18,000 mi/yr); caused an accident in past 3 years=No; speeding ticket in past 3 years=Yes; coverage limit=30/60/25 (liability only: TDI requests only bodily injury and property damage liability)",30,male,single,,0,1,liability-only,30/60/25,,,"2024 Toyota Camry four-door sedan (site option ""Car"")",18000,,,credit score option: Average; use: commute
tx-2025,tx-truck,"HelpInsure auto form: gender=Male; marital status=Single; age=25 to 64 (TDI data call rates age 30); credit score=Average; vehicle=Truck; use=Mostly for going to work (18,000 mi/yr); caused an accident in past 3 years=No; speeding ticket in past 3 years=No; coverage limit=30/60/25 (liability only: TDI requests only bodily injury and property damage liability)",30,male,single,,0,0,liability-only,30/60/25,,,"2024 Ford F-150 regular cab 4x2 (site option ""Truck"")",18000,,,credit score option: Average; use: commute
